882564756538531842 | 2021-09-01 09:57:15.219000 | test(485194231665786888) | Przemekkk#2137 | <@!397068546154299404> czuj się obserwowany | att: https://cdn.discordapp.com/attachments/485194231665786888/882564756634992661/unknown.png
882565750626324492 | 2021-09-01 10:01:12.228000 | test(485194231665786888) | Żukasz#3699 | vc ktos?
882565887905906728 | 2021-09-01 10:01:44.958000 | test(485194231665786888) | Przemekkk#2137 | zaraz wbije
882565905639440385 | 2021-09-01 10:01:49.186000 | test(485194231665786888) | Żukasz#3699 | okok
882565910269943808 | 2021-09-01 10:01:50.290000 | test(485194231665786888) | Przemekkk#2137 | bo makaron gotuje
882567792111530004 | 2021-09-01 10:09:18.956000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882567796951744554 | 2021-09-01 10:09:20.110000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882567810713272330 | 2021-09-01 10:09:23.391000 | test(485194231665786888) | Przemekkk#2137 | v!leave
882567811166240769 | 2021-09-01 10:09:23.499000 | test(485194231665786888) | Vipper#9675 | Opuszczono kanał głosowy
882569365080391750 | 2021-09-01 10:15:33.981000 | ktdg(650742306575745059) | Puszek-Senpai#1322 |  | att: https://cdn.discordapp.com/attachments/650742306575745059/882569364551913482/20210901_121334.jpg
882569373204750378 | 2021-09-01 10:15:35.918000 | ktdg(650742306575745059) | Puszek-Senpai#1322 | sprzedam na sztuki cena, do uzgodnienia
882569786909933598 | 2021-09-01 10:17:14.553000 | ktdg(650742306575745059) | Przemekkk#2137 |  | att: https://cdn.discordapp.com/attachments/650742306575745059/882569786352103435/IMG20210901121702_00.jpg
882582441829728326 | 2021-09-01 11:07:31.721000 | ktdg(650742306575745059) | Puszek-Senpai#1322 | https://www.youtube.com/watch?v=rSvBFm_MuXw
EDITED: 882582441829728326 | 2021-09-01 11:07:31.721000 | ktdg(650742306575745059) | Puszek-Senpai#1322 | BEFORE: https://www.youtube.com/watch?v=rSvBFm_MuXw | AFTER: https://www.youtube.com/watch?v=rSvBFm_MuXw
882582569676320778 | 2021-09-01 11:08:02.202000 | ktdg(650742306575745059) | Przemekkk#2137 | https://www.youtube.com/watch?v=rSvBFm_MuXw
DELETED: 882582569676320778 | 2021-09-01 11:08:02.202000 | ktdg(650742306575745059) | Przemekkk#2137 | https://www.youtube.com/watch?v=rSvBFm_MuXw
882589905568546856 | 2021-09-01 11:37:11.215000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882589911516053546 | 2021-09-01 11:37:12.633000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882589924606504980 | 2021-09-01 11:37:15.754000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
DELETED: 882589924606504980 | 2021-09-01 11:37:15.754000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882591045714587668 | 2021-09-01 11:41:43.047000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882591072386158662 | 2021-09-01 11:41:49.406000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882591078669242408 | 2021-09-01 11:41:50.904000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882591098315370506 | 2021-09-01 11:41:55.588000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882592208841228358 | 2021-09-01 11:46:20.358000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882592214948151307 | 2021-09-01 11:46:21.814000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882592222065877043 | 2021-09-01 11:46:23.511000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882592434964533268 | 2021-09-01 11:47:14.270000 | test(485194231665786888) | Przemekkk#2137 | v!connect
882592438902984765 | 2021-09-01 11:47:15.209000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882592444317831198 | 2021-09-01 11:47:16.500000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882687527553736704 | 2021-09-01 18:05:06.110000 | test(485194231665786888) | Przemekkk#2137 | v!connect
