883011851745648660 | 2021-09-02 15:33:51.023000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
EDITED: 883011851745648660 | 2021-09-02 15:33:51.023000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=2OWydjT-16o | AFTER: v!play https://www.youtube.com/watch?v=2OWydjT-16o
883011865683300372 | 2021-09-02 15:33:54.346000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883011932897042432 | 2021-09-02 15:34:10.371000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
EDITED: 883011932897042432 | 2021-09-02 15:34:10.371000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=pmanD_s7G3U | AFTER: v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883011943206637658 | 2021-09-02 15:34:12.829000 | test(485194231665786888) | Vipper#9675 | 
883012198253854731 | 2021-09-02 15:35:13.637000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883012211805667348 | 2021-09-02 15:35:16.868000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883012231518900244 | 2021-09-02 15:35:21.568000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883012240423391253 | 2021-09-02 15:35:23.691000 | test(485194231665786888) | Vipper#9675 | 
883012334136729620 | 2021-09-02 15:35:46.034000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883012346044379186 | 2021-09-02 15:35:48.873000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883012358509846538 | 2021-09-02 15:35:51.845000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883012363740119112 | 2021-09-02 15:35:53.092000 | test(485194231665786888) | Vipper#9675 | 
883013674099413033 | 2021-09-02 15:41:05.506000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883013688137748610 | 2021-09-02 15:41:08.853000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883013700766822460 | 2021-09-02 15:41:11.864000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883013709780361286 | 2021-09-02 15:41:14.013000 | test(485194231665786888) | Vipper#9675 | 
883014468823552010 | 2021-09-02 15:44:14.983000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883014483545583696 | 2021-09-02 15:44:18.493000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883014487022641164 | 2021-09-02 15:44:19.322000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883014492991160331 | 2021-09-02 15:44:20.745000 | test(485194231665786888) | Vipper#9675 | 
883014902489419827 | 2021-09-02 15:45:58.377000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883014917718949978 | 2021-09-02 15:46:02.008000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883014927843991693 | 2021-09-02 15:46:04.422000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883014934013816902 | 2021-09-02 15:46:05.893000 | test(485194231665786888) | Vipper#9675 | 
883015398033858580 | 2021-09-02 15:47:56.524000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883015411459829780 | 2021-09-02 15:47:59.725000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883015414496514098 | 2021-09-02 15:48:00.449000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883015420297244712 | 2021-09-02 15:48:01.832000 | test(485194231665786888) | Vipper#9675 | 
883053527411347506 | 2021-09-02 18:19:27.276000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883053536810762321 | 2021-09-02 18:19:29.517000 | test(485194231665786888) | Vipper#9675 | Użytkownik nie jest połączony z żadnym kanałem głosowym
883053590166503455 | 2021-09-02 18:19:42.238000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883053600027316245 | 2021-09-02 18:19:44.589000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883054091402616862 | 2021-09-02 18:21:41.742000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883054105243844659 | 2021-09-02 18:21:45.042000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883054825162543104 | 2021-09-02 18:24:36.684000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883054838735314945 | 2021-09-02 18:24:39.920000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883054881336852540 | 2021-09-02 18:24:50.077000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883054890983780352 | 2021-09-02 18:24:52.377000 | test(485194231665786888) | Vipper#9675 | 
883055910795239505 | 2021-09-02 18:28:55.519000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883055925198483489 | 2021-09-02 18:28:58.953000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883055935877177374 | 2021-09-02 18:29:01.499000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883055941908561942 | 2021-09-02 18:29:02.937000 | test(485194231665786888) | Vipper#9675 | 
883056687681011763 | 2021-09-02 18:32:00.743000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883056703514509373 | 2021-09-02 18:32:04.518000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883056711164911647 | 2021-09-02 18:32:06.342000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883056716948856934 | 2021-09-02 18:32:07.721000 | test(485194231665786888) | Vipper#9675 | 
883058031519215657 | 2021-09-02 18:37:21.139000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
EDITED: 883058031519215657 | 2021-09-02 18:37:21.139000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=2OWydjT-16o | AFTER: v!play https://www.youtube.com/watch?v=2OWydjT-16o
883058050896920586 | 2021-09-02 18:37:25.759000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883058379919077396 | 2021-09-02 18:38:44.204000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883058393907069038 | 2021-09-02 18:38:47.539000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883065395173531699 | 2021-09-02 19:06:36.771000 | test(485194231665786888) | Przemekkk#2137 | https://www.youtube.com/watch?v=2OWydjT-16o
883065418376413284 | 2021-09-02 19:06:42.303000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883065432301522994 | 2021-09-02 19:06:45.623000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883065459816140862 | 2021-09-02 19:06:52.183000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883065465952428102 | 2021-09-02 19:06:53.646000 | test(485194231665786888) | Vipper#9675 | 
883071801083707493 | 2021-09-02 19:32:04.059000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883071815688257546 | 2021-09-02 19:32:07.541000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883071835607035924 | 2021-09-02 19:32:12.290000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883071844637351976 | 2021-09-02 19:32:14.443000 | test(485194231665786888) | Vipper#9675 | 
883073236169003070 | 2021-09-02 19:37:46.210000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883073250253504513 | 2021-09-02 19:37:49.568000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883073261209026650 | 2021-09-02 19:37:52.180000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883073267575963668 | 2021-09-02 19:37:53.698000 | test(485194231665786888) | Vipper#9675 | 
883073826831884398 | 2021-09-02 19:40:07.035000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
