883471429050441800 | 2021-09-03 22:00:02.791000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp quit
883471430816239676 | 2021-09-03 22:00:03.212000 | test(485194231665786888) | Vipper#9675 | 
883471460088307734 | 2021-09-03 22:00:10.191000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp leave
883471460914565181 | 2021-09-03 22:00:10.388000 | test(485194231665786888) | Vipper#9675 | 
883471987031289866 | 2021-09-03 22:02:15.824000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp
883471987966611476 | 2021-09-03 22:02:16.047000 | test(485194231665786888) | Vipper#9675 | 
883472663467679774 | 2021-09-03 22:04:57.099000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp play
883472664138764339 | 2021-09-03 22:04:57.259000 | test(485194231665786888) | Vipper#9675 | 
883474155910082591 | 2021-09-03 22:10:52.925000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp play
883474157168373810 | 2021-09-03 22:10:53.225000 | test(485194231665786888) | Vipper#9675 | 
883475093240545291 | 2021-09-03 22:14:36.402000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp play
883475094641455154 | 2021-09-03 22:14:36.736000 | test(485194231665786888) | Vipper#9675 | 
883475357733376011 | 2021-09-03 22:15:39.462000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp play
883475358492557362 | 2021-09-03 22:15:39.643000 | test(485194231665786888) | Vipper#9675 | 
883475546493825034 | 2021-09-03 22:16:24.466000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp embedtest
883475547949252629 | 2021-09-03 22:16:24.813000 | test(485194231665786888) | Vipper#9675 | 
883475724613328896 | 2021-09-03 22:17:06.933000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp
883475725867438080 | 2021-09-03 22:17:07.232000 | test(485194231665786888) | Vipper#9675 | 
883476124406018058 | 2021-09-03 22:18:42.251000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp
883476125156790376 | 2021-09-03 22:18:42.430000 | test(485194231665786888) | Vipper#9675 | 
883476652674416721 | 2021-09-03 22:20:48.200000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp
883476653743943780 | 2021-09-03 22:20:48.455000 | test(485194231665786888) | Vipper#9675 | 
883476981293940737 | 2021-09-03 22:22:06.549000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp
883476982220869704 | 2021-09-03 22:22:06.770000 | test(485194231665786888) | Vipper#9675 | 
883477668320927754 | 2021-09-03 22:24:50.349000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp sendembed
883477669663092796 | 2021-09-03 22:24:50.669000 | test(485194231665786888) | Vipper#9675 | 
883478387082006578 | 2021-09-03 22:27:41.715000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp play
883478387891523614 | 2021-09-03 22:27:41.908000 | test(485194231665786888) | Vipper#9675 | 
883478447723270154 | 2021-09-03 22:27:56.173000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp musicqueue
883478448570519572 | 2021-09-03 22:27:56.375000 | test(485194231665786888) | Vipper#9675 | 
883610120502792202 | 2021-09-04 07:11:09.410000 | test(485194231665786888) | Przemekkk#2137 | v!buttonstest
883610121245175851 | 2021-09-04 07:11:09.587000 | test(485194231665786888) | Vipper#9675 | sadiugfasdas
883613560356372480 | 2021-09-04 07:24:49.535000 | test(485194231665786888) | Przemekkk#2137 | v!buttonstest
883613561170042920 | 2021-09-04 07:24:49.729000 | test(485194231665786888) | Vipper#9675 | sadiugfasdas
883613626177560627 | 2021-09-04 07:25:05.228000 | test(485194231665786888) | Przemekkk#2137 | v!buttonstest
883613627515564052 | 2021-09-04 07:25:05.547000 | test(485194231665786888) | Vipper#9675 | sadiugfasdas
EDITED: 883613627515564052 | 2021-09-04 07:25:05.547000 | test(485194231665786888) | Vipper#9675 | BEFORE: sadiugfasdas | AFTER: test
883614709578858497 | 2021-09-04 07:29:23.531000 | test(485194231665786888) | Przemekkk#2137 | v!newhelp
883614710837166160 | 2021-09-04 07:29:23.831000 | test(485194231665786888) | Vipper#9675 | 
883616027546615818 | 2021-09-04 07:34:37.759000 | test(485194231665786888) | Przemekkk#2137 | v!testhelp
883616028586811402 | 2021-09-04 07:34:38.007000 | test(485194231665786888) | Vipper#9675 | 
883617043402883082 | 2021-09-04 07:38:39.958000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883617044241739826 | 2021-09-04 07:38:40.158000 | test(485194231665786888) | Vipper#9675 | 
883617923170725899 | 2021-09-04 07:42:09.711000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883618025985703936 | 2021-09-04 07:42:34.224000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883618520301182996 | 2021-09-04 07:44:32.078000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883619520604950538 | 2021-09-04 07:48:30.569000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883620513577046056 | 2021-09-04 07:52:27.312000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883620514604646400 | 2021-09-04 07:52:27.557000 | test(485194231665786888) | Vipper#9675 | 
883620641654325249 | 2021-09-04 07:52:57.848000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883620642702888970 | 2021-09-04 07:52:58.098000 | test(485194231665786888) | Vipper#9675 | 
883623421051809824 | 2021-09-04 08:04:00.508000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883623422054244352 | 2021-09-04 08:04:00.747000 | test(485194231665786888) | Vipper#9675 | 
883623523724189696 | 2021-09-04 08:04:24.987000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883623524584009728 | 2021-09-04 08:04:25.192000 | test(485194231665786888) | Vipper#9675 | 
883623754914201651 | 2021-09-04 08:05:20.107000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883623755849564181 | 2021-09-04 08:05:20.330000 | test(485194231665786888) | Vipper#9675 | 
883624066559397920 | 2021-09-04 08:06:34.409000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883627896214794250 | 2021-09-04 08:21:47.470000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883627897254993940 | 2021-09-04 08:21:47.718000 | test(485194231665786888) | Vipper#9675 | 
883628126826016778 | 2021-09-04 08:22:42.452000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
883628127652306964 | 2021-09-04 08:22:42.649000 | test(485194231665786888) | Vipper#9675 | 
883628407320096768 | 2021-09-04 08:23:49.327000 | test(485194231665786888) | Przemekkk#2137 | v!testhelpauto
