EMBED #5293: title: Komendy bota Vipper: | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='queue, connect, leave, play, stop, skip, pause, resume', name='Music', inline=False), EmbedProxy(value='saveconvo, sendembed, test, active, act, serverinfo, owtest, owner_find, embedtest, serverinfoembed', name='Nieskategoryzowane', inline=False), EmbedProxy(value='help', name='Utilities', inline=False), EmbedProxy(value='buttonstest, testhelp, testhelpauto, hasembed', name='Tests', inline=False)] | footer: EmbedProxy(text='Możesz sprawdzić informacje o dowolnej komendzie lub kategorii wpisując jej nazwę jako argument. Przykład: v!help play') | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-04 22:03:31.707000 | EMBED: #8003 | title: Komendy bota Vipper: | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='queue, connect, leave, play, stop, skip, pause, resume', name='Music', inline=False), EmbedProxy(value='saveconvo, sendembed, test, active, act, serverinfo, owtest, owner_find, embedtest, serverinfoembed', name='Nieskategoryzowane', inline=False), EmbedProxy(value='help', name='Utilities', inline=False), EmbedProxy(value='buttonstest, testhelp, testhelpauto, hasembed', name='Tests', inline=False)] | footer: EmbedProxy(text='Możesz sprawdzić informacje o dowolnej komendzie lub kategorii wpisując jej nazwę jako argument. Przykład: v!help play') | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-04 22:04:36.081000 | EMBED: #4714 | title: Kategoria: Utilities | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='None', name='help', inline=False)] | footer: EmbedProxy() | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-04 22:04:42.841000 | EMBED: #5426 | title: Kategoria: Tests | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='None', name='buttonstest', inline=False), EmbedProxy(value='None', name='testhelp', inline=False), EmbedProxy(value='None', name='testhelpauto', inline=False), EmbedProxy(value='None', name='hasembed', inline=False)] | footer: EmbedProxy() | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-04 22:04:48.410000 | EMBED: #1112 | title: Kategoria: Music | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='None', name='queue', inline=False), EmbedProxy(value='None', name='connect', inline=False), EmbedProxy(value='None', name='leave', inline=False), EmbedProxy(value='Służy do odtwarzania muzyki', name='play', inline=False), EmbedProxy(value='None', name='stop', inline=False), EmbedProxy(value='None', name='skip', inline=False), EmbedProxy(value='None', name='pause', inline=False), EmbedProxy(value='None', name='resume', inline=False)] | footer: EmbedProxy() | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-04 22:04:54.650000 | EMBED: #8804 | title: Komenda: play | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='Music', name='Kategoria', inline=False), EmbedProxy(value='Brak aliasów', name='Aliasy', inline=False), EmbedProxy(value='Komenda v!play służy do odtwarzania muzyki z platformy YouTube używając linka do wideo jako argumentu.', name='Opis', inline=False), EmbedProxy(value='v!play (url)', name='Składnia', inline=False)] | footer: EmbedProxy() | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-04 22:13:19.214000 | EMBED: #6392 | title: Komendy bota Vipper: | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='resume, queue, connect, leave, play, stop, skip, pause', name='Music', inline=False), EmbedProxy(value='serverinfoembed, sendembed, test, active, act, serverinfo, owtest, owner_find, embedtest', name='Nieskategoryzowane', inline=False), EmbedProxy(value='help', name='Utilities', inline=False), EmbedProxy(value='saveconvo', name='Logs', inline=False), EmbedProxy(value='buttonstest, testhelp, testhelpauto, hasembed', name='Tests', inline=False)] | footer: EmbedProxy(text='Możesz sprawdzić informacje o dowolnej komendzie lub kategorii wpisując jej nazwę jako argument. Przykład: v!help play') | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-04 22:13:19.462000 | EMBED: #5755 | title: Komendy bota Vipper: | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='resume, queue, connect, leave, play, stop, skip, pause', name='Music', inline=False), EmbedProxy(value='serverinfoembed, sendembed, test, active, act, serverinfo, owtest, owner_find, embedtest', name='Nieskategoryzowane', inline=False), EmbedProxy(value='help', name='Utilities', inline=False), EmbedProxy(value='saveconvo', name='Logs', inline=False), EmbedProxy(value='buttonstest, testhelp, testhelpauto, hasembed', name='Tests', inline=False)] | footer: EmbedProxy(text='Możesz sprawdzić informacje o dowolnej komendzie lub kategorii wpisując jej nazwę jako argument. Przykład: v!help play') | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-04 22:13:47.332000 | EMBED: #9154 | title: Komendy bota Vipper: | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='saveconvo', name='Logs', inline=False), EmbedProxy(value='serverinfoembed, sendembed, test, active, act, serverinfo, owtest, owner_find, embedtest', name='Nieskategoryzowane', inline=False), EmbedProxy(value='queue, connect, leave, play, stop, skip, pause, resume', name='Music', inline=False), EmbedProxy(value='help', name='Utilities', inline=False), EmbedProxy(value='buttonstest, testhelp, testhelpauto, hasembed', name='Tests', inline=False)] | footer: EmbedProxy(text='Możesz sprawdzić informacje o dowolnej komendzie lub kategorii wpisując jej nazwę jako argument. Przykład: v!help play') | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-04 22:14:33.798000 | EMBED: #3067 | title: Komendy bota Vipper: | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='saveconvo', name='Logs', inline=False), EmbedProxy(value='serverinfoembed, sendembed, test, active, act, serverinfo, owtest, owner_find, embedtest', name='Nieskategoryzowane', inline=False), EmbedProxy(value='queue, connect, leave, play, stop, skip, pause, resume', name='Music', inline=False), EmbedProxy(value='help', name='Utilities', inline=False), EmbedProxy(value='buttonstest, testhelp, testhelpauto, hasembed', name='Tests', inline=False)] | footer: EmbedProxy(text='Możesz sprawdzić informacje o dowolnej komendzie lub kategorii wpisując jej nazwę jako argument. Przykład: v!help play') | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-05 15:48:44.687000 | EMBED: #8205 | title: Komendy bota Vipper: | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='serverinfoembed, sendembed, test, active, act, serverinfo, owtest, owner_find, embedtest', name='Nieskategoryzowane', inline=False), EmbedProxy(value='queue, connect, leave, play, stop, skip, pause, resume', name='Music', inline=False), EmbedProxy(value='help', name='Utilities', inline=False), EmbedProxy(value='saveconvo', name='Logs', inline=False), EmbedProxy(value='buttonstest, testhelp, testhelpauto, hasembed', name='Tests', inline=False)] | footer: EmbedProxy(text='Możesz sprawdzić informacje o dowolnej komendzie lub kategorii wpisując jej nazwę jako argument. Przykład: v!help play') | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
2021-09-05 15:50:11.666000 | EMBED: #7416 | title: Komendy bota Vipper: | author: EmbedProxy() | description: Embed.Empty | color: #55ff55 | fields: [EmbedProxy(value='serverinfoembed, sendembed, test, active, act, serverinfo, owtest, owner_find, embedtest', name='Nieskategoryzowane', inline=False), EmbedProxy(value='queue, connect, leave, play, stop, skip, pause, resume', name='Music', inline=False), EmbedProxy(value='help', name='Utilities', inline=False), EmbedProxy(value='saveconvo', name='Logs', inline=False), EmbedProxy(value='buttonstest, testhelp, testhelpauto, hasembed', name='Tests', inline=False)] | footer: EmbedProxy(text='Możesz sprawdzić informacje o dowolnej komendzie lub kategorii wpisując jej nazwę jako argument. Przykład: v!help play') | image: EmbedProxy() | provider: EmbedProxy() | thumbnail: EmbedProxy() | timestamp: Embed.Empty | type: rich | url: Embed.Empty | video: EmbedProxy()
