885580162090024970 | 2021-09-09 19:39:23.926000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!db
885580292109250600 | 2021-09-09 19:39:54.925000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!mca
885580315781922896 | 2021-09-09 19:40:00.569000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!db
885580562918674486 | 2021-09-09 19:40:59.491000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!jd
885580629612302357 | 2021-09-09 19:41:15.392000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885581253871566888 | 2021-09-09 19:43:44.227000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885581377163100200 | 2021-09-09 19:44:13.622000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885582159811850310 | 2021-09-09 19:47:20.220000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885586888893816893 | 2021-09-09 20:06:07.721000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885587322672934963 | 2021-09-09 20:07:51.142000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885587483612545074 | 2021-09-09 20:08:29.513000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885587699954765935 | 2021-09-09 20:09:21.093000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885588193070682203 | 2021-09-09 20:11:18.661000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885588194303832084 | 2021-09-09 20:11:18.955000 | dfjgklagsa(884130923384299561) | MEE6#4876 | GG <@183242057882664961>, you just advanced to level 4!
885588367637614602 | 2021-09-09 20:12:00.281000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885588400751652904 | 2021-09-09 20:12:08.176000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | self.cursor.execute("select * from september")
885588425992978512 | 2021-09-09 20:12:14.194000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885588432070529034 | 2021-09-09 20:12:15.643000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
